station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
RDU,2018-01-01 00:51,23.00,-0.90,34.52,30.00,9.00,0.00,30.38,1029.30,10.00,15.00,OVC,M,M,M,7000.00,M,M,M,M,M,M,M,M,M,M,12.32,KRDU 010551Z 03009G15KT 10SM OVC070 M05/M18 A3038 RMK AO2 SLP293 T10501183 11039 21050 50006,M
RDU,2018-01-01 01:51,21.90,0.00,37.72,40.00,11.00,0.00,30.40,1030.00,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,M,M,M,M,M,M,9.70,KRDU 010651Z 04011KT 10SM OVC070 M06/M18 A3040 RMK AO2 SLP300 T10561178,M
RDU,2018-01-01 02:51,19.90,0.00,41.06,40.00,9.00,0.00,30.41,1030.40,10.00,M,FEW,BKN,M,M,7000.00,25000.00,M,M,M,M,M,M,M,M,M,8.47,KRDU 010751Z 04009KT 10SM FEW070 BKN250 M07/M18 A3041 RMK AO2 SLP304 T10671178,M
RDU,2018-01-01 03:51,18.00,1.00,46.68,50.00,7.00,0.00,30.43,1031.10,10.00,M,BKN,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,7.71,KRDU 010851Z 05007KT 10SM BKN250 M08/M17 A3043 RMK AO2 SLP311 T10781172 51016,M
RDU,2018-01-01 04:51,16.00,1.00,50.90,60.00,8.00,0.00,30.43,1031.20,10.00,M,FEW,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,4.40,KRDU 010951Z 06008KT 10SM FEW250 M09/M17 A3043 RMK AO2 SLP312 T10891172,M
RDU,2018-01-01 05:51,16.00,1.00,50.90,50.00,8.00,0.00,30.45,1031.70,10.00,M,FEW,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,4.40,KRDU 011051Z 05008KT 10SM FEW250 M09/M17 A3045 RMK AO2 SLP317 T10891172,M
RDU,2018-01-01 06:51,14.00,1.90,57.91,40.00,5.00,0.00,30.48,1032.60,10.00,M,SCT,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,5.02,KRDU 011151Z 04005KT 10SM SCT250 M10/M17 A3048 RMK AO2 SLP326 T11001167 11050 21100 53015,M
RDU,2018-01-01 07:51,14.00,3.00,60.94,20.00,3.00,0.00,30.50,1033.30,10.00,M,SCT,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,8.11,KRDU 011251Z 02003KT 10SM SCT250 M10/M16 A3050 RMK AO2 SLP333 T11001161,M
RDU,2018-01-01 08:51,16.00,3.00,55.85,20.00,5.00,0.00,30.52,1034.00,10.00,M,SCT,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,7.39,KRDU 011351Z 02005KT 10SM SCT250 M09/M16 A3052 RMK AO2 SLP340 T10891161,M
RDU,2018-01-01 09:51,19.90,3.00,47.22,10.00,8.00,0.00,30.54,1034.60,10.00,15.00,SCT,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,9.21,KRDU 011451Z 01008G15KT 10SM SCT250 M07/M16 A3054 RMK AO2 SLP346 T10671161 51020,M
