latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,
35.90628,-78.75,119,-14400,America/New_York,GMT-4,,,
,,,,,,,,
time,temperature_2m (°F),precipitation (inch),wind_speed_10m (mp/h),dew_point_2m (°F),relative_humidity_2m (%),pressure_msl (hPa),cloud_cover (%),wind_direction_10m (°)
2026-09-16T14:00,86.9,NaN,3,58.3,38,1026.3,NaN,77
2026-09-16T15:00,87.3,0,3.4,57.1,36,1025.7,0,67
2026-09-16T16:00,86.8,0,3.9,55.8,35,1025.1,0,59
2026-09-16T17:00,85.9,0,4.1,55.8,36,1024.8,0,61
2026-09-16T18:00,84.4,0,4.3,57.5,40,1024.6,0,62
2026-09-16T19:00,77.9,0,3.9,57.8,50,1024.9,5,59
2026-09-16T20:00,74.5,0,4,56.3,53,1025.3,0,56
2026-09-16T21:00,73.3,0,4.3,55.1,53,1025.9,5,96
2026-09-16T22:00,72.2,0,3.8,54.1,53,1026.2,0,126
2026-09-16T23:00,71.5,0,3,53.4,53,1026.1,0,163
2026-09-17T00:00,70.6,0,3.8,53.1,54,1025.5,0,183
2026-09-17T01:00,69.5,0,3.8,52.6,55,1025.3,0,177
2026-09-17T02:00,68,0,3.8,52.2,57,1025.2,0,180
2026-09-17T03:00,66.8,0,3.7,52.4,60,1024.8,5,218
2026-09-17T04:00,65.9,0,3.3,52.5,62,1024.6,35,228
2026-09-17T05:00,65.2,0,3.2,53.1,65,1024.8,7,214
2026-09-17T06:00,64.8,0,3.3,54.4,69,1025,6,222
2026-09-17T07:00,64.3,0,2.7,54.7,71,1025.1,6,235
2026-09-17T08:00,67.5,0,2.3,56.2,67,1025.6,5,209
2026-09-17T09:00,72.9,0,3,56.3,56,1025.5,0,197
2026-09-17T10:00,77.8,0,3.7,56.5,48,1025.4,0,205
2026-09-17T11:00,81.9,0,4.1,57.2,43,1024.9,0,202
2026-09-17T12:00,85.9,0,4.3,57.3,38,1024.1,0,219
2026-09-17T13:00,88.9,0,4,56.9,34,1023.1,0,232
2026-09-17T14:00,91.1,0,3.7,57.1,32,1022,0,232
2026-09-17T15:00,92.2,0,3.5,57.2,31,1021,0,235
2026-09-17T16:00,92.2,0,3.6,57.2,31,1020.2,0,248
2026-09-17T17:00,91.3,0,3.5,57.3,32,1019.7,0,252
2026-09-17T18:00,89.3,0,3.5,61.1,39,1019.4,6,230
2026-09-17T19:00,83,0,4.3,60.1,46,1019.7,12,219
2026-09-17T20:00,82.1,0,5.1,59.3,46,1020,100,195
2026-09-17T21:00,81.4,0,5.5,59.2,47,1020.5,100,194
2026-09-17T22:00,80.3,0,6,58.2,47,1020.4,100,214
2026-09-17T23:00,78.3,0,5.9,59.2,52,1020.3,100,217
2026-09-18T00:00,77.6,0,5.5,58.6,52,1020.1,91,227
2026-09-18T01:00,74.5,0,5.4,59.2,59,1019.8,8,232
2026-09-18T02:00,73.8,0,5.5,60.4,63,1019.4,11,238
2026-09-18T03:00,74.7,0,4.8,61.3,63,1019,100,242
2026-09-18T04:00,74.7,0,5,61.7,64,1018.8,100,238
2026-09-18T05:00,72.5,0,4.6,61.4,68,1018.8,43,231
2026-09-18T06:00,70.2,0.012,3.7,64.1,81,1018.8,49,232
2026-09-18T07:00,69.7,0.02,4.7,66.3,89,1019,100,235
2026-09-18T08:00,70.9,0,3.9,67.5,89,1019.2,81,239
2026-09-18T09:00,74.7,0,4.3,68.5,81,1019.1,11,242
2026-09-18T10:00,79.7,0,3.5,68.7,69,1019.1,15,255
2026-09-18T11:00,86.4,0,2.6,68.3,55,1018.9,23,308
2026-09-18T12:00,90.5,0,3,67.6,47,1018.4,22,347
2026-09-18T13:00,93.2,0,3.5,66.7,42,1017.5,19,18
2026-09-18T14:00,94.9,0,3.6,66,39,1016.6,16,30
2026-09-18T15:00,95.4,0,4.3,65.8,38,1015.8,7,35
2026-09-18T16:00,95.4,0,5,65,37,1015.1,50,36
2026-09-18T17:00,92.2,0.004,5.6,67.8,45,1015,85,23
2026-09-18T18:00,86,0,7.8,67.5,54,1015.5,100,27
2026-09-18T19:00,82.6,0,9,69.2,64,1016,100,67
2026-09-18T20:00,82.1,0,8.8,69.6,66,1016.2,100,81
2026-09-18T21:00,82.6,0,8.5,69.7,65,1016.6,100,92
2026-09-18T22:00,77.4,0.083,6.9,71.1,81,1017.2,100,88
2026-09-18T23:00,76.1,0.079,7.4,71.3,85,1017.4,100,104
2026-09-19T00:00,74.9,0.028,7,71.1,88,1017.6,51,97
2026-09-19T01:00,73.6,0.067,7.6,70.8,91,1017.8,66,76
2026-09-19T02:00,73.3,0.004,6.5,70.5,91,1017.4,100,84
2026-09-19T03:00,73.3,0,5.8,70.5,91,1017.3,100,77
2026-09-19T04:00,72.2,0,6.8,70.3,94,1017.3,68,56
2026-09-19T05:00,71.8,0,6.4,70.6,96,1017.3,54,65
2026-09-19T06:00,71.1,0,5.8,70.2,97,1017.4,27,62
2026-09-19T07:00,70.6,0,5.6,69.7,97,1017.5,47,56
2026-09-19T08:00,71.5,0,6.2,69.9,95,1018,61,52
2026-09-19T09:00,74,0.004,8,70.2,88,1018.5,69,67
2026-09-19T10:00,76.1,0.004,8.9,70.6,83,1019.1,82,68
2026-09-19T11:00,76.5,0,9.3,69.5,79,1019.3,99,70
2026-09-19T12:00,77.6,0.004,8.7,68.6,74,1019.3,100,78
2026-09-19T13:00,79.2,0,9,68.1,69,1018.8,96,93
2026-09-19T14:00,81,0,7.9,67.7,64,1018.6,78,97
2026-09-19T15:00,80.3,0,6.3,67.9,66,1018.1,100,86
2026-09-19T16:00,79,0,5.8,68.4,70,1017.8,100,86
2026-09-19T17:00,78.3,0,6.4,67.7,70,1017.4,100,102
2026-09-19T18:00,78.1,0,6.4,67.1,69,1017.5,100,108
2026-09-19T19:00,76.3,0,5.1,66.2,71,1017.8,100,113
2026-09-19T20:00,75.1,0,4.2,65.8,73,1018.2,86,115
2026-09-19T21:00,75.4,0,5.5,64.9,70,1018.6,100,117
2026-09-19T22:00,75.2,0,6.4,64.4,69,1018.8,100,115
2026-09-19T23:00,74.5,0,7.1,64.9,72,1018.5,100,118
2026-09-20T00:00,74,0,7.1,66.3,77,1018.3,100,131
2026-09-20T01:00,73.6,0,6.8,66.7,79,1018.1,100,134
2026-09-20T02:00,73.3,0,5.7,66.7,80,1018,100,138
2026-09-20T03:00,73.3,0,5.4,67.1,81,1017.8,100,142
2026-09-20T04:00,73.3,0,5.3,67.1,81,1017.3,100,147
2026-09-20T05:00,72.9,0,5,67.1,82,1016.8,100,159
2026-09-20T06:00,70.4,0,4,67.3,90,1016.7,64,164
2026-09-20T07:00,71.1,0,4.2,67.4,88,1016.5,95,162
2026-09-20T08:00,72.2,0,4.3,67.8,86,1016.7,100,171
2026-09-20T09:00,73.6,0,4.7,68.1,83,1017.1,100,199
2026-09-20T10:00,74.9,0,5.3,68.6,81,1017.1,100,202
2026-09-20T11:00,76.9,0,5.6,68.7,76,1016.8,100,203
2026-09-20T12:00,83.3,0,5.9,69,62,1016,22,223
2026-09-20T13:00,86.6,0,6.2,68,54,1014.8,10,226
2026-09-20T14:00,88.9,0,6.7,66.7,48,1013.8,29,240
2026-09-20T15:00,90.2,0,6.7,66,45,1012.8,46,249
2026-09-20T16:00,89.3,0,5.4,65.2,45,1012.4,87,253
2026-09-20T17:00,83,0.008,2.8,69.1,63,1012.3,100,225
2026-09-20T18:00,80.6,0,5.8,69.5,69,1011.8,100,184
2026-09-20T19:00,80.5,0,5.6,68.9,68,1012.2,100,185
2026-09-20T20:00,79,0,4.8,67.5,68,1013.1,43,214
2026-09-20T21:00,76.1,0.016,8.4,68.8,78,1014.2,7,312
2026-09-20T22:00,72.2,0.028,3,69.4,91,1014.4,100,312
2026-09-20T23:00,70.7,0.031,4.2,68.3,92,1014.2,100,286
2026-09-21T00:00,70.6,0,3.7,67.8,91,1013.4,100,256
2026-09-21T01:00,70.7,0,3.8,68,91,1012.9,100,230
2026-09-21T02:00,70.6,0,4.1,67.8,91,1013.3,100,248
2026-09-21T03:00,69.7,0,4.9,67.5,93,1013.1,62,223
2026-09-21T04:00,69.5,0,4.8,67.7,94,1013.3,64,242
2026-09-21T05:00,69.5,0,4.4,68,95,1013.2,67,240
2026-09-21T06:00,69.7,0,4.1,68.2,95,1013.2,22,241
2026-09-21T07:00,69.7,0,4.3,68.5,96,1013.5,71,219
2026-09-21T08:00,71.6,0,3.5,69.2,92,1014.5,61,235
2026-09-21T09:00,75.2,0,4.3,70.1,84,1014.9,83,235
2026-09-21T10:00,79.7,0,3.3,69.5,71,1015.3,100,254
2026-09-21T11:00,80.1,0,4.2,69,69,1015.8,100,328
2026-09-21T12:00,75.8,0,5.9,69.5,81,1016.1,100,353
2026-09-21T13:00,74.3,0,3.2,68.8,83,1015.6,100,348
2026-09-21T14:00,77,0,1.6,68.9,76,1014.8,100,315
