date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2026-09-01 00:00:00,29.8,23.9,36.7,0,0,,5.8,,1014.6,
2026-09-02 00:00:00,30.6,24.4,37.8,0,0,,6.8,,1014.8,
2026-09-03 00:00:00,30.2,23.9,38.3,10.7,0,,8.6,,,
2026-09-04 00:00:00,29.9,24.4,37.2,0,0,,13,,1014.9,
2026-09-05 00:00:00,27.1,23.3,36.7,0.8,0,,6.5,,1011.3,
2026-09-06 00:00:00,24.5,20.6,27.8,0,0,,11.2,,1013.6,
2026-09-07 00:00:00,24.3,17.8,30.6,0,0,,12.2,,1019.8,
2026-09-08 00:00:00,23.7,15.6,30,0,0,,6.5,,1024,
2026-09-09 00:00:00,24.8,16.7,32.2,0,0,,7.9,,1023.5,
2026-09-10 00:00:00,28.1,21.7,36.1,0,0,,16.6,,1016.3,
2026-09-11 00:00:00,28.1,23.3,36.7,8.9,0,,9.7,,1011.3,
2026-09-12 00:00:00,25.2,22.8,30,3.3,0,,4.3,,1013.5,
2026-09-13 00:00:00,26.8,23.9,32.2,8.6,0,,9,,1015.8,
2026-09-14 00:00:00,27,21.7,32.2,,,,4.7,,,
2026-09-15 00:00:00,23,19,27.9,,,,9.6,,1025.5,
2026-09-16 00:00:00,22,16.8,28.3,,,,6.3,,1027.1,
